name      - the name of the galaxy;
a_26      - linear diameter of the galaxy in kpc, determined at Holmberg's isophote (26.5 mag/square arcsec);
m_b       - absolute magnitude of the galaxy in the B-band corrected for extinction;
log_lk    - logarithm of the stellar mass in solar units;
log_m26   - logarithm of the indicative (dynamic) mass within the Holmberg diameter; 
log_mhi   - logarithm of the hydrogen mass in solar units;
ti1       - tidal index $\Theta_1$;
md        - Main Disturber's name;
D         - distance to the galaxy in Mpc;
delta_vlg - line-of-sight velocity of the galaxy (in km s$^{-1}$) relative to the velocity of MD;
count     - number of members in the suite of MD, to which the galaxy belongs.
 
       name        | a_26  |  m_b  | log_lk | log_m26 | log_mhi | vlg  | ti1  |       md        |   D   | delta_vlg | count 
 And XXII          |  0.35 |  -6.0 |   5.36 |         |         |   87 |  2.1 | MESSIER033      |  0.79 |        53 |     1
 NGC0024           | 19.98 | -18.3 |   9.75 |   10.32 |  8.91   |  606 | -1.0 | NGC0045         |  9.90 |        78 |     1
 NGC0253           | 40.83 | -21.3 |  11.04 |   11.24 |  9.15   |  276 | -0.4 | NGC0247         |  3.94 |        60 |     1
 NGC0055           | 21.71 | -18.4 |   9.49 |   10.15 |  9.45   |  111 |  0.1 | NGC0300         |  2.13 |        -5 |     1
 NGC0891           | 37.89 | -20.5 |  10.96 |   11.32 |  9.64   |  736 | -0.9 | NGC1023         |  9.77 |           |     1
 LV J0300+2546     |  1.05 | -12.7 |   7.34 |    6.41 |  6.20   |  443 |  1.6 | NGC1156         |  7.80 |       -64 |     1
 UGCA092           |  3.56 | -15.6 |   7.98 |    8.41 |  8.17   |   93 |  1.6 | NGC1569         |  3.01 |       -13 |     1
 ESO486-021        |  4.49 | -15.8 |   8.74 |    8.90 |  8.47   |  664 |  0.8 | NGC1744         | 10.00 |        90 |     1
 HIPASS J0916-23b  |  2.11 | -14.7 |   8.13 |    7.76 |  7.51   |  550 |  1.5 | NGC2835         | 10.30 |       -50 |     1
 Antlia            |  0.81 |  -9.8 |   6.47 |    6.05 |  5.92   |   66 |  2.3 | NGC3109         |  1.32 |       -44 |     1
 NGC3521           | 34.92 | -21.2 |  11.09 |   11.32 |  9.65   |  598 |  2.2 | NGC3521sat      | 10.70 |           |     1
 AGC202256         |  1.27 | -13.6 |   7.69 |    7.72 |  7.25   |  490 |  1.5 | NGC3593         | 11.00 |        -2 |     1
 DDO123            |  8.50 | -15.7 |   8.62 |    9.19 |  8.88   |  836 | -1.3 | NGC3990         | 10.50 |        48 |     1
 UGC07298          |  1.04 | -12.3 |   7.25 |    5.95 |  7.28   |  256 | -0.4 | NGC4068         |  4.21 |       -34 |     1
 NGC4214           |  7.34 | -17.2 |   9.00 |    9.16 |  8.48   |  295 |  1.2 | NGC4163         |  2.94 |       132 |     1
 DDO165            |  5.40 | -15.1 |   8.18 |    8.41 |  8.04   |  196 | -0.2 | NGC4236         |  4.57 |        39 |     1
 UGC07605          |  1.91 | -13.5 |   7.65 |    6.92 |  7.32   |  317 |  0.4 | NGC4244         |  4.43 |        58 |     1
 IC3591            |  3.68 | -15.7 |   8.66 |    8.88 |  8.24   | 1507 | -0.4 | NGC4417         |  9.80 |           |     1
 UGC07320          |  3.15 | -14.5 |   8.04 |    8.31 |  7.54   |  587 | -0.4 | NGC4460         |  9.20 |        36 |     1
 VCC2033           |  1.59 | -14.8 |   8.32 |    6.75 |  7.01   | 1373 | -0.7 | NGC4472         |  9.80 |           |     1
 NGC4490           | 10.55 | -19.4 |   9.91 |    9.96 |  9.22   |  623 |  4.3 | NGC4485         |  5.80 |       106 |     1
 CGCG 014-054      |  3.53 | -14.4 |   8.01 |    8.20 |  7.70   |  954 |  1.0 | NGC4517         |  9.60 |       -24 |     1
 UGC07983          |  2.28 | -13.8 |   7.79 |    7.30 |  8.02   |  565 | -0.1 | NGC4586         |  9.40 |           |     1
 VCC1713           |  1.21 | -13.5 |   7.66 |    6.59 |  7.08   | 1504 | -0.1 | NGC4600         |  7.20 |       791 |     1
 UGC07242          |  1.91 | -14.2 |   7.91 |    8.26 |  7.68   |  211 | -0.4 | NGC4605         |  5.42 |       -73 |     1
 NGC4765           |  5.39 | -16.8 |   8.96 |    9.09 |  8.43   |  598 | -0.5 | NGC4624         |  9.70 |           |     1
 NGC4618           |  9.68 | -18.3 |   9.65 |    9.60 |  8.90   |  576 |  3.4 | NGC4625         |  7.90 |       -70 |     1
 KK165             |  1.15 | -11.2 |   7.44 |         |         |      |  1.6 | NGC4656         |  5.40 |           |     1
 MESSIER101        | 65.20 | -21.1 |  10.85 |   11.35 |  9.91   |  378 |  0.4 | NGC5474         |  7.38 |       -46 |     1
 ESO273-014        | 14.39 | -18.6 |   9.44 |   10.36 |  9.61   |  851 | -2.0 | NGC5643         |  9.90 |           |     1
 UGC11411          |  1.20 | -13.3 |   7.56 |         |         |  345 | -0.8 | NGC6503         |  4.73 |        36 |     1
 UGCA442           |  7.35 | -14.7 |   8.01 |    9.16 |  8.20   |  300 | -0.1 | NGC7793         |  4.27 |        50 |     1
 UGC03303          | 13.06 | -16.0 |   8.75 |   10.26 |  8.52   |  444 | -2.2 | Orion           |  7.14 |       164 |     1
 VCC0169           |  2.33 | -13.3 |   7.56 |    6.42 |  8.04   | 2094 | -0.3 | PGC039264       |  9.40 |           |     1
 VCC0565           |  1.61 | -14.2 |   7.91 |    7.07 |  7.06   |  734 | -0.3 | PGC039878       |  9.60 |           |     1
 Milky Way         |       | -20.8 |        |         |  9.47   |  -65 |  2.8 | Sag dSph        |  0.01 |      -224 |     1
 NGC4594           | 32.46 | -21.8 |  11.30 |   11.76 |  8.36   |  894 |  2.5 | SUCD1           |  9.30 |      -215 |     1
 NGC0628           | 25.40 | -19.8 |  10.31 |   10.08 |  9.44   |  827 | -0.3 | UGC01171        |  7.31 |       -79 |     1
 UGC02716          |  3.28 | -15.0 |   8.34 |    8.21 |  7.68   |  467 | -0.8 | UGC02684        |  6.40 |        29 |     1
 UGC02684          |  4.07 | -13.4 |   7.57 |    8.79 |  7.92   |  438 | -0.1 | UGC02716        |  6.49 |       -29 |     1
 NGC1637           | 12.12 | -18.7 |  10.07 |   10.40 |  9.01   |  646 | -2.1 | UGC03174        |  9.29 |           |     1
 Orion             | 11.17 | -16.9 |   8.68 |    9.64 |  8.94   |  280 | -2.1 | UGC03303        |  6.46 |      -164 |     1
 NGC2903           | 32.45 | -20.9 |  10.82 |   11.13 |  9.44   |  443 |  1.7 | UGC05086        |  8.87 |        65 |     1
 [CKT2009]d1009+70 |  2.15 | -12.4 |   7.90 |         |         |      | -1.0 | UGC05423        |  9.00 |           |     1
 LV J1000+3032     |  0.58 | -11.3 |   6.76 |    5.85 |  6.33   |  436 | -0.6 | UGC05427        |  7.10 |         9 |     1
 NGC3432           | 13.70 | -19.0 |   9.64 |   10.31 |  9.52   |  587 |  3.1 | UGC05983        |  9.20 |      -154 |     1
 NGC3556           | 13.86 | -20.2 |  10.52 |   10.52 |  9.42   |  777 | -1.3 | UGC06446        |  9.90 |           |     1
 KDG235            |  4.07 | -13.5 |   7.64 |    7.85 |  7.87   |  687 | -1.0 | UGC10736        | 10.60 |           |     1
 NGC6946           | 34.68 | -20.8 |  10.76 |   10.89 |  9.88   |  355 |  0.6 | UGC11583        |  5.89 |       -74 |     1
 NGC7640           | 24.98 | -19.2 |   9.71 |   10.52 |  9.51   |  668 |  0.9 | UGC12588        |  7.90 |       -55 |     1
 UGCA127           | 27.00 | -19.9 |  10.00 |   10.80 |  9.34   |  562 |  2.7 | UGCA127sat      |  8.50 |           |     1
 DDO161            | 16.77 | -16.4 |   8.91 |    9.67 |  8.99   |  545 |  1.5 | UGCA319         |  7.30 |       -10 |     1
 HS1053+3624       |  1.32 | -12.1 |   7.11 |         |         |  546 |  1.2 | VV747           |  9.20 |       -48 |     1
