       name        |  cz  | error |       bibcode       |                  refs                   
 NGC3184           |  592 |    22 | 1985A&A...143..216H | Huchtmeier et al. 1985
 HIJASS J1021+6842 |   46 |       | 2001ApJ...560L.127B | Boyce et al. 2001
 HS117             |  -37 |       | 2004AJ....127.2031K | Karachentsev et al. 2004
 LV J1021+0054     |  701 |     3 | 2012SDSS9.C...0000: | SDSS DR9 2012
 LeoP              |  262 |       | 2013AAS...22135207B | Bernstein-Cooper et al. 2013
 AGC731448         |  540 |     2 | 2011AJ....142..170H | Haynes et al. 2011
 KKSG19            |  628 |     0 | 2003A&A...401..483H | Huchtmeier et al. 2003
 NGC3239           |  754 |    22 | 1981ApJS...47..139F | Fisher et al. 1981
 DDO078            |   55 |    10 | 2001A&A...380..435S | Sharina et al. 2001
 UGC05672          |  531 |    16 | 1986AJ.....91..705B | Bicay et al. 1986
 IC2574            |   43 |     4 | 1981MNRAS.195..327A | Appleton et al. 1981
 LV J1028+4240     |  547 |     5 | 2012SDSS9.C...0000: | SDSS DR9 2012
 [CKT2009]d1028+70 | -114 |    50 | 2009AJ....137.3009C | Chiboucas et al. 2009
 AGC749315         |  645 |     6 | 2011AJ....142..170H | Haynes et al. 2011
 DDO082            |   56 |     3 | 2003A&A...405..951M | Makarov et al. 2003
 LV J1030+0607     |  640 |     2 | 2011AJ....142..170H | Haynes et al. 2011
 AGC205156         |  915 |     3 | 2011AJ....142..170H | Haynes et al. 2011
 AGC731457         |  454 |     3 | 2011AJ....142..170H | Haynes et al. 2011
 NGC3274           |  541 |     1 | 2011AJ....142..170H | Haynes et al. 2011
 UMa I             |  -55 |     1 | 2007ApJ...670..313S | Simon et al. 2007
 AGC202248         | 1177 |     6 | 2011AJ....142..170H | Haynes et al. 2011
 ESO501-023        | 1042 |    18 | 2005MNRAS.361...34D | Doyle et al. 2005
 LeG03             | 1158 |     1 | 2011AJ....142..170H | Haynes et al. 2011
 KUG 1033+366B     |  620 |     2 | 2012SDSS9.C...0000: | SDSS DR9 2012
